"Year","Coordinates: Latitude","Coordinates: Longitude"
"2002","47.53647329","-122.2688097"
"2002","47.51269826","-122.26588751"
"2002","47.58095204","-122.30866184"
"2002","47.68659722","-122.37440218"
"2002","47.62827081","-122.3090865"
"2002","47.61692176","-122.28623458"
"2002","47.66549942","-122.38125458"
"2002","47.56934791","-122.37909971"
"2002","47.62146283","-122.32561232"
"2002","47.61565741","-122.31351919"
"2002","47.63519386","-122.31934183"
"2002","47.54123685","-122.27513633"
"2002","47.70602227","-122.28114489"
"2002","47.56963185","-122.40868395"
"2002","47.54885661","-122.39569445"
"2002","47.66343339","-122.34671196"
"2002","47.63776911","-122.33007373"
"2002","47.64951431","-122.37590674"
"2002","47.69367426","-122.37713644"
"2002","47.69253539","-122.37761064"
"2002","47.56392307","-122.28673601"
"2002","47.62761049","-122.34211851"
"2002","47.67639298","-122.37752449"
"2002","47.66489939","-122.40262093"
"2002","47.63870815","-122.31544471"
"2002","47.5926943","-122.33373247"
"2002","47.66583599","-122.29966651"
"2002","47.6229131","-122.28880748"
"2002","47.6229131","-122.28880748"
"2002","47.54105392","-122.34367221"
"2002","47.71546192","-122.29865001"
"2002","47.61534277","-122.34516039"
"2002","47.68080676","-122.34803907"
"2002","47.59271022","-122.33760378"
"2002","47.6810373","-122.36374086"
"2002","47.51495995","-122.38121391"
"2002","47.59831714","-122.29966548"
"2002","47.59831714","-122.29966548"
"2002","47.55242688","-122.33741021"
"2002","47.59944316","-122.29559519"
"2002","47.50356263","-122.37843593"
"2002","47.56493685","-122.39253394"
"2002","47.60830012","-122.30475556"
"2002","47.58203499","-122.39090301"
"2002","47.57267871","-122.37068654"
"2002","47.61359798","-122.28639633"
"2003","47.69333241","-122.35424096"
"2003","47.69333241","-122.35424096"
"2003","47.69321735","-122.35414135"
"2003","47.69321735","-122.35414135"
"2003","47.65286339","-122.33062785"
"2003","47.57328753","-122.38912717"
"2003","47.51400074","-122.26491608"
"2003","47.52905541","-122.39127261"
"2003","47.53753056","-122.3684911"
"2003","47.51722219","-122.28516129"
"2003","47.63100625","-122.38282969"
"2003","47.61077813","-122.29787319"
"2003","47.51972801","-122.39262172"
"2003","47.68759259","-122.37918879"
"2003","47.61000906","-122.28800306"
"2003","47.63007592","-122.31952177"
"2003","47.66231885","-122.28147251"
"2003","47.51581213","-122.3817911"
"2003","47.66231885","-122.28147251"
"2003","47.56285063","-122.33993759"
"2003","47.66231885","-122.28147251"
"2003","47.5317656","-122.27035414"
"2003","47.71772793","-122.30532628"
"2003","47.55248504","-122.27578352"
"2003","47.58530532","-122.37854499"
"2003","47.65185443","-122.34504438"
"2003","47.54597124","-122.32099105"
"2003","47.59826583","-122.29943205"
"2003","47.61815439","-122.31664979"
"2003","47.58778958","-122.38731543"
"2003","47.55393897","-122.2832985"
"2003","47.55061224","-122.37399024"
"2003","47.68068777","-122.37600285"
"2003","47.58733768","-122.31243438"
"2003","47.67910182","-122.27616179"
"2003","47.62659781","-122.3628232"
"2003","47.62641245","-122.36290428"
"2003","47.62659951","-122.3629141"
"2003","47.62641245","-122.36290428"
"2003","47.61763908","-122.3550815"
"2003","47.59701661","-122.33379709"
"2003","47.5941983","-122.30302306"
"2003","47.62597645","-122.33927863"
"2003","47.63536266","-122.40294904"
"2003","47.65119351","-122.36562832"
"2003","47.65644621","-122.31042426"
"2003","47.65370095","-122.33991461"
"2003","47.56702445","-122.40526419"
"2003","47.71040504","-122.29562981"
"2003","47.69812273","-122.3537842"
"2003","47.69812273","-122.3537842"
"2003","47.52346599","-122.35686312"
"2003","47.6961692","-122.32778825"
"2003","47.56590002","-122.38714649"
"2003","47.62236086","-122.3015328"
"2003","47.64301151","-122.34429893"
"2003","47.56173836","-122.29017177"
"2003","47.56166787","-122.29014941"
"2003","47.61013289","-122.31378822"
"2003","47.70086593","-122.31171556"
"2003","47.66047864","-122.344309"
"2003","47.69849937","-122.39592821"
"2003","47.60190903","-122.30184618"
"2003","47.53921098","-122.39655637"
"2003","47.53921098","-122.39655637"
"2003","47.58892234","-122.30314314"
"2003","47.70631554","-122.31020808"
"2003","47.67284276","-122.35671259"
"2003","47.70650819","-122.29866645"
"2003","47.73336045","-122.35082681"
"2003","47.61313158","-122.30459777"
"2003","47.53600643","-122.31769055"
"2003","47.72256695","-122.28123037"
"2003","47.66679277","-122.39443477"
"2003","47.7191323","-122.28471334"
"2003","47.50936705","-122.26029822"
"2003","47.58383539","-122.28912544"
"2003","47.66699744","-122.36835793"
"2003","47.63929992","-122.3659142"
"2003","47.5741703","-122.29844437"
"2003","47.52319907","-122.38104448"
"2003","47.64655579","-122.41539003"
"2003","47.69548809","-122.35781208"
"2003","47.71620742","-122.27803661"
"2003","47.50638431","-122.26273406"
"2003","47.63562102","-122.28325675"
"2003","47.60545038","-122.28842246"
"2003","47.64236052","-122.38370702"
"2003","47.64236052","-122.38370702"
"2003","47.53857162","-122.28027705"
"2003","47.61410105","-122.28421554"
"2003","47.62898368","-122.36546107"
"2003","47.64049424","-122.35284201"
"2003","47.65820128","-122.35027852"
"2003","47.67410887","-122.30578993"
"2003","47.66030318","-122.39868782"
"2003","47.58700039","-122.38800147"
"2003","47.67049699","-122.3315295"
"2003","47.61263208","-122.32925833"
"2003","47.67577505","-122.39041171"
"2003","47.71772793","-122.30532628"
"2003","47.68346459","-122.34037784"
"2003","47.54826806","-122.39022968"
"2003","47.56294869","-122.29525682"
"2003","47.54529453","-122.27152489"
"2003","47.68778304","-122.34074935"
"2003","47.55597746","-122.28732024"
"2003","47.55611449","-122.28728614"
"2003","47.5562746","-122.28729364"
"2003","47.55653982","-122.28740177"
"2003","47.55653982","-122.28740177"
"2003","47.67602564","-122.3163505"
"2003","47.67399201","-122.30575488"
"2003","47.57230498","-122.37793931"
"2003","47.68685836","-122.28662834"
"2003","47.54197906","-122.37888728"
"2003","47.66876445","-122.29238623"
"2003","47.62810099","-122.31288591"
"2003","47.65400886","-122.31630679"
"2003","47.63493153","-122.36960817"
"2003","47.57298644","-122.39029431"
"2003","47.51657742","-122.39384727"
"2003","47.54095754","-122.26877167"
"2003","47.62402492","-122.33756682"
"2003","47.65805894","-122.32166559"
"2003","47.66142742","-122.30334519"
"2003","47.66142742","-122.30334519"
"2003","47.6645082","-122.33389454"
"2003","47.67225401","-122.35225097"
"2003","47.50087936","-122.24957776"
"2003","47.52834319","-122.26080722"
"2003","47.62870209","-122.3262299"
"2003","47.72311064","-122.37139678"
"2003","47.66524459","-122.40500683"
"2003","47.59987003","-122.33070405"
"2003","47.65637627","-122.34006533"
"2003","47.59685419","-122.29414819"
"2003","47.71223957","-122.27984361"
"2003","47.61873258","-122.29586231"
"2003","47.5120615","-122.37429408"
"2003","47.55496692","-122.30926"
"2003","47.58595435","-122.37979024"
"2003","47.55496362","-122.30938548"
"2003","47.55495702","-122.30950073"
"2003","47.57171851","-122.40918922"
"2003","47.62486282","-122.30902255"
"2003","47.69035323","-122.33809667"
"2003","47.58046643","-122.30724289"
"2003","47.65119351","-122.36562832"
"2003","47.65034994","-122.30908696"
"2003","47.53660964","-122.31786167"
"2003","47.59978306","-122.30531367"
"2003","47.65463146","-122.34205867"
"2003","47.73255992","-122.35507329"
"2003","47.51709083","-122.37798858"
"2003","47.68570067","-122.33399623"
"2003","47.55604874","-122.28760896"
"2003","47.65463146","-122.34205867"
"2003","47.70822046","-122.34550632"
"2003","47.6143853","-122.33872658"
"2003","47.65288232","-122.33918405"
"2003","47.61263208","-122.32925833"
"2003","47.59626861","-122.29467897"
"2003","47.65839964","-122.34647585"
"2004","47.62101542","-122.30227713"
"2004","47.52164625","-122.28048374"
"2004","47.521808","-122.2804523"
"2004","47.716638","-122.33387102"
"2004","47.57813379","-122.40632151"
"2004","47.51333138","-122.38133164"
"2004","47.72992446","-122.28991572"
"2004","47.51939589","-122.33844086"
"2004","47.61346338","-122.28643201"
"2004","47.61472875","-122.35567671"
"2004","47.5505945","-122.32152625"
"2004","47.57663179","-122.28850498"
"2004","47.68456398","-122.35473935"
"2004","47.6497212","-122.37531337"
"2004","47.62473655","-122.34728468"
"2004","47.70575652","-122.29050795"
"2004","47.61331861","-122.28683346"
"2004","47.59123955","-122.28670164"
"2004","47.61677345","-122.32136755"
"2004","47.69150696","-122.36092358"
"2004","47.5879894","-122.29079331"
"2004","47.65034994","-122.30908696"
"2004","47.58780223","-122.38345245"
"2004","47.62683533","-122.35074705"
"2004","47.6779957","-122.35327776"
"2004","47.65149363","-122.4174234"
"2004","47.66667228","-122.32590572"
"2004","47.54208982","-122.32141396"
"2004","47.64251589","-122.31491845"
"2004","47.55408583","-122.3786581"
"2004","47.52244758","-122.37619699"
"2004","47.69696947","-122.31334506"
"2004","47.65010951","-122.30523048"
"2004","47.65075394","-122.33663093"
"2004","47.69454805","-122.29425999"
"2004","47.70843111","-122.35713626"
"2004","47.51357767","-122.38919436"
"2004","47.67359692","-122.31767706"
"2004","47.54125049","-122.29649552"
"2004","47.69642242","-122.27588687"
"2004","47.54419189","-122.39116967"
"2004","47.64343003","-122.35748968"
"2004","47.69642242","-122.27588687"
"2004","47.67723721","-122.31282416"
"2004","47.6807763","-122.38618181"
"2004","47.63077722","-122.32054263"
"2004","47.57687228","-122.41040783"
"2004","47.59042509","-122.32499694"
"2004","47.59042509","-122.32499694"
"2004","47.67565341","-122.30472919"
"2004","47.66964296","-122.38076979"
"2004","47.66511919","-122.3012755"
"2004","47.65347787","-122.39260248"
"2004","47.5130247","-122.38129674"
"2004","47.64033655","-122.41137648"
"2004","47.67209548","-122.3247566"
"2004","47.68625726","-122.3200326"
"2004","47.58957889","-122.32681602"
"2004","47.59250517","-122.31350625"
"2004","47.59243405","-122.31326667"
"2004","47.67723267","-122.33078068"
"2004","47.70068797","-122.37243128"
"2004","47.66813504","-122.40303272"
"2004","47.63454663","-122.40169871"
"2004","47.58896005","-122.32834795"
"2004","47.69218511","-122.28654518"
"2004","47.52564841","-122.37231662"
"2004","47.64670831","-122.37176529"
"2004","47.58566762","-122.29331976"
"2004","47.64687731","-122.38542662"
"2004","47.63970076","-122.36597495"
"2004","47.5112649","-122.38748518"
"2004","47.69218848","-122.29277275"
"2004","47.65601782","-122.33420155"
"2004","47.61737236","-122.30240016"
"2004","47.6553119","-122.33174804"
"2004","47.59042509","-122.32499694"
"2004","47.5700337","-122.2904741"
"2004","47.69603114","-122.32098999"
