"Category","Application_Date","Latitude","Longitude"
"COMMERCIAL","08/02/2011","47.55680616","-122.38645793"
"COMMERCIAL","08/01/2011","47.60236182","-122.3053424"
"MULTIFAMILY","07/29/2011","47.62023921","-122.33228222"
"SINGLE FAMILY / DUPLEX","07/26/2011","47.51737547","-122.39688238"
"SINGLE FAMILY / DUPLEX","07/25/2011","47.68346826","-122.35202705"
"COMMERCIAL","07/22/2011","47.57366118","-122.29433811"
"INSTITUTIONAL","07/21/2011","47.65447918","-122.31734902"
"MULTIFAMILY","04/18/2011","47.6719363","-122.38032213"
"SINGLE FAMILY / DUPLEX","07/15/2011","47.63066984","-122.36728746"
"SINGLE FAMILY / DUPLEX","07/13/2011","47.69579444","-122.39635817"
"COMMERCIAL","07/08/2011","47.55681585","-122.28580136"
"COMMERCIAL","07/07/2011","47.62351956","-122.34136373"
"COMMERCIAL","07/07/2011","47.62339887","-122.34192881"
"COMMERCIAL","07/07/2011","47.62339887","-122.34192881"
"COMMERCIAL","07/07/2011","47.62339887","-122.34192881"
"INSTITUTIONAL","07/07/2011","47.65500901","-122.31491929"
"SINGLE FAMILY / DUPLEX","07/06/2011","47.67542912","-122.3907971"
"COMMERCIAL","07/06/2011","47.6243111","-122.35643769"
"SINGLE FAMILY / DUPLEX","07/06/2011","47.68264349","-122.28543959"
"MULTIFAMILY","07/01/2011","47.66342014","-122.3542098"
"SINGLE FAMILY / DUPLEX","07/01/2011","47.63458781","-122.35475001"
"SINGLE FAMILY / DUPLEX","07/01/2011","47.68036027","-122.37976695"
"SINGLE FAMILY / DUPLEX","06/30/2011","47.70997033","-122.2818586"
"SINGLE FAMILY / DUPLEX","06/28/2011","47.66371672","-122.34837693"
"COMMERCIAL","06/22/2011","47.67566507","-122.31218878"
"COMMERCIAL","06/24/2011","47.73223383","-122.29192074"
"COMMERCIAL","06/24/2011","47.57703236","-122.29752834"
"SINGLE FAMILY / DUPLEX","06/24/2011","47.58446359","-122.38350334"
"SINGLE FAMILY / DUPLEX","06/22/2011","47.62684092","-122.2836143"
"SINGLE FAMILY / DUPLEX","06/21/2011","47.68216846","-122.37389057"
"SINGLE FAMILY / DUPLEX","06/20/2011","47.69146049","-122.39053335"
"COMMERCIAL","06/17/2011","47.57391773","-122.29451002"
"SINGLE FAMILY / DUPLEX","06/09/2011","47.52578697","-122.39411533"
"COMMERCIAL","06/06/2011","47.6617231","-122.29599464"
"SINGLE FAMILY / DUPLEX","06/06/2011","47.68404316","-122.39223987"
"COMMERCIAL","06/03/2011","47.62208508","-122.35399633"
"SINGLE FAMILY / DUPLEX","06/03/2011","47.55849235","-122.37599926"
"SINGLE FAMILY / DUPLEX","06/02/2011","47.66613236","-122.35612388"
"SINGLE FAMILY / DUPLEX","05/31/2011","47.51655949","-122.38876968"
"SINGLE FAMILY / DUPLEX","05/28/2011","47.63004145","-122.30777614"
"SINGLE FAMILY / DUPLEX","05/27/2011","47.69810078","-122.37596331"
"SINGLE FAMILY / DUPLEX","05/27/2011","47.67794558","-122.38999398"
"SINGLE FAMILY / DUPLEX","05/26/2011","47.54409327","-122.3884323"
"SINGLE FAMILY / DUPLEX","05/26/2011","47.57359333","-122.3878467"
"SINGLE FAMILY / DUPLEX","05/25/2011","47.66579168","-122.28524169"
"SINGLE FAMILY / DUPLEX","05/25/2011","47.64922503","-122.32111736"
"INSTITUTIONAL","05/25/2011","47.52792231","-122.37072186"
"SINGLE FAMILY / DUPLEX","05/25/2011","47.70711178","-122.35914743"
"SINGLE FAMILY / DUPLEX","05/23/2011","47.61108974","-122.30725324"
"COMMERCIAL","05/23/2011","47.62574901","-122.34463762"
"COMMERCIAL","05/23/2011","47.627366","-122.3426527"
"SINGLE FAMILY / DUPLEX","05/23/2011","47.73079224","-122.28938877"
"COMMERCIAL","05/18/2011","47.65080529","-122.36175945"
"SINGLE FAMILY / DUPLEX","05/13/2011","47.64634361","-122.41296068"
"SINGLE FAMILY / DUPLEX","05/13/2011","47.56569343","-122.39839521"
"SINGLE FAMILY / DUPLEX","05/11/2011","47.67225994","-122.35050355"
"SINGLE FAMILY / DUPLEX","05/11/2011","47.57234028","-122.37582932"
"SINGLE FAMILY / DUPLEX","05/10/2011","47.69842993","-122.38325662"
"INSTITUTIONAL","05/09/2011","47.54023744","-122.28007354"
"INSTITUTIONAL","05/09/2011","47.54023744","-122.28007354"
"INSTITUTIONAL","05/09/2011","47.54011531","-122.2805025"
"SINGLE FAMILY / DUPLEX","05/25/2010","47.63588363","-122.31236487"
"COMMERCIAL","05/06/2011","47.66761574","-122.31273275"
"SINGLE FAMILY / DUPLEX","05/06/2011","47.69938878","-122.35701508"
"INDUSTRIAL","05/05/2011","47.55026509","-122.34656866"
"COMMERCIAL","05/04/2011","47.69129988","-122.29039286"
"SINGLE FAMILY / DUPLEX","05/03/2011","47.6727965","-122.27883759"
"SINGLE FAMILY / DUPLEX","04/29/2011","47.64447235","-122.38495744"
"SINGLE FAMILY / DUPLEX","04/29/2011","47.64432658","-122.38494795"
"SINGLE FAMILY / DUPLEX","04/28/2011","47.56609952","-122.40885148"
"SINGLE FAMILY / DUPLEX","06/17/2009","47.5324889","-122.36825808"
"SINGLE FAMILY / DUPLEX","04/19/2011","47.64404952","-122.38493449"
"COMMERCIAL","04/14/2011","47.72192914","-122.32818065"
"SINGLE FAMILY / DUPLEX","04/13/2011","47.6599375","-122.33427664"
"INSTITUTIONAL","04/13/2011","47.73143645","-122.32785791"
"COMMERCIAL","04/12/2011","47.61022901","-122.32401318"
"SINGLE FAMILY / DUPLEX","04/06/2011","47.51666019","-122.39450692"
"COMMERCIAL","04/04/2011","47.57201568","-122.34640574"
"SINGLE FAMILY / DUPLEX","04/04/2011","47.58758067","-122.39256423"
"SINGLE FAMILY / DUPLEX","03/31/2011","47.66947321","-122.33875812"
"SINGLE FAMILY / DUPLEX","03/30/2011","47.67418391","-122.40179068"
"SINGLE FAMILY / DUPLEX","03/29/2011","47.66664741","-122.36395095"
"SINGLE FAMILY / DUPLEX","03/29/2011","47.57406656","-122.38975325"
"SINGLE FAMILY / DUPLEX","03/28/2011","47.5812936","-122.4031696"
"SINGLE FAMILY / DUPLEX","03/24/2011","47.69313045","-122.33753369"
"SINGLE FAMILY / DUPLEX","03/24/2011","47.63839646","-122.3731581"
"SINGLE FAMILY / DUPLEX","03/17/2011","47.62361985","-122.35456609"
"SINGLE FAMILY / DUPLEX","03/11/2011","47.67892959","-122.27128673"
"COMMERCIAL","03/10/2011","47.57639535","-122.3207373"
"SINGLE FAMILY / DUPLEX","03/09/2011","47.64807776","-122.36791759"
"COMMERCIAL","03/08/2011","47.62037814","-122.32045216"
"COMMERCIAL","03/08/2011","47.62089252","-122.31978536"
"COMMERCIAL","03/08/2011","47.62084605","-122.32055599"
"COMMERCIAL","03/08/2011","47.62060772","-122.32060628"
"COMMERCIAL","03/08/2011","47.62090173","-122.3199275"
"COMMERCIAL","03/08/2011","47.62050338","-122.32047656"
"COMMERCIAL","03/08/2011","47.61574546","-122.34790837"
