"Year","Coordinates: Latitude","Coordinates: Longitude"
"2008","47.7257052","-122.33685276"
"2008","47.62113072","-122.33630945"
"2008","47.56062356","-122.3625544"
"2008","47.6120149","-122.31383998"
"2008","47.65671202","-122.36159914"
"2008","47.58825778","-122.38374606"
"2008","47.5525628","-122.37926894"
"2008","47.58416363","-122.31369992"
"2008","47.53251418","-122.27083353"
"2008","47.6235886","-122.28981295"
"2008","47.65146285","-122.37515752"
"2008","47.66738411","-122.31654901"
"2008","47.64385558","-122.35491119"
"2008","47.55919177","-122.28401903"
"2008","47.58258895","-122.38727913"
"2008","47.62264588","-122.31347573"
"2008","47.62037829","-122.33807786"
"2008","47.62004449","-122.33808797"
"2008","47.67181981","-122.37910791"
"2008","47.56016853","-122.38986202"
"2008","47.58684831","-122.31707104"
"2008","47.67395973","-122.40615433"
"2008","47.67404046","-122.40615246"
"2008","47.67436042","-122.36777487"
"2008","47.56141808","-122.37968735"
"2008","47.5780071","-122.3872169"
"2008","47.69330887","-122.37718922"
"2008","47.5558247","-122.27294908"
"2008","47.70383953","-122.3193302"
"2008","47.67047724","-122.28974589"
"2008","47.54304392","-122.37537949"
"2008","47.64153477","-122.34330653"
"2008","47.53355828","-122.37633869"
"2008","47.6314688","-122.36090729"
"2008","47.59155716","-122.38652804"
"2008","47.6378806","-122.38737615"
"2008","47.70747011","-122.30924601"
"2008","47.69232803","-122.36014708"
"2008","47.69220558","-122.36015458"
"2008","47.71807327","-122.28561948"
"2008","47.62685191","-122.29576325"
"2008","47.57794006","-122.4083467"
"2008","47.63825415","-122.32167145"
"2008","47.61546081","-122.30096151"
"2008","47.63814558","-122.32161809"
"2008","47.65330477","-122.3575118"
"2008","47.68247958","-122.32275748"
"2008","47.54019907","-122.38682577"
"2008","47.54001649","-122.38703284"
"2008","47.55897172","-122.29060706"
"2008","47.64148403","-122.32025486"
"2008","47.59934558","-122.29468968"
"2008","47.59934558","-122.29468968"
"2008","47.64855204","-122.36429857"
"2008","47.60050841","-122.30254137"
"2008","47.63888518","-122.32926102"
"2008","47.68841926","-122.27422471"
"2008","47.56382104","-122.31387741"
"2008","47.69430829","-122.34283222"
"2008","47.65902967","-122.34292298"
"2008","47.6691663","-122.38016467"
"2008","47.52715171","-122.32620438"
"2008","47.58367696","-122.3287891"
"2008","47.73385894","-122.35510109"
"2008","47.54047","-122.26778373"
"2008","47.58251635","-122.30467865"
"2008","47.72161762","-122.34887484"
"2008","47.72227195","-122.29685322"
"2008","47.63866056","-122.2804398"
"2008","47.59292168","-122.29465204"
"2008","47.72885121","-122.33534709"
"2008","47.7276648","-122.35694101"
"2008","47.68757517","-122.37652192"
"2008","47.55333949","-122.39540964"
"2008","47.66164568","-122.39973404"
"2008","47.65671202","-122.36159914"
"2008","47.56964185","-122.36084374"
"2008","47.56949873","-122.36083373"
"2008","47.64331562","-122.32443014"
"2008","47.69929957","-122.27271796"
"2008","47.57009447","-122.28678566"
"2008","47.67558417","-122.27540473"
"2008","47.53119689","-122.27930851"
"2008","47.66461107","-122.31718245"
