Latitude	Longitude
47.51936545	-122.26128444
47.6782888	-122.26131813
47.68213081	-122.26331566
47.67406865	-122.26379468
47.5334773	-122.26949049
47.5351643	-122.26972947
47.53328891	-122.27034671
47.54134609	-122.2709403
47.52260743	-122.27159603
47.54174317	-122.27174848
47.6679197	-122.27579666
47.64045302	-122.27674666
47.54671941	-122.2769903
47.52361066	-122.27703514
47.55131219	-122.27714194
47.52402505	-122.27752306
47.63939533	-122.27755306
47.63827434	-122.2776353
47.53502794	-122.27830404
47.53406419	-122.27868151
47.53441776	-122.27876339
47.53457963	-122.27885501
47.63683956	-122.27889419
47.52413076	-122.27930491
47.53537987	-122.27968327
47.53655796	-122.27975149
47.5359306	-122.27981606
47.52410415	-122.2801357
47.53615648	-122.28024596
47.55466746	-122.28039943
47.5377135	-122.28040583
47.53396838	-122.28045476
47.55568593	-122.28099805
47.55463005	-122.28100749
47.54002986	-122.28107075
47.53932024	-122.28109452
47.53579861	-122.2812184
47.54033559	-122.28127513
47.55571687	-122.28137055
47.5397598	-122.28139124
47.55642263	-122.2813914
47.55595081	-122.28139493
47.54046991	-122.28140968
47.55483532	-122.28181227
47.5396309	-122.28192166
47.55378947	-122.28285054
47.55725907	-122.28296026
47.55513761	-122.28317726
47.54025657	-122.28327332
47.66886652	-122.28396908
47.56017473	-122.28471989
47.66171394	-122.28501128
47.66514341	-122.285135
47.55533534	-122.28538048
47.56029176	-122.28581275
47.56510918	-122.2858248
47.55722935	-122.28596699
47.54693174	-122.28636388
47.55532066	-122.28639658
47.56474713	-122.28646093
47.55926496	-122.28655389
47.57052455	-122.28746873
47.54869035	-122.28760407
47.57067525	-122.28763511
47.57093102	-122.28764292
47.54825954	-122.28764377
47.54845771	-122.28769883
47.54699665	-122.28791162
47.56216286	-122.28803458
47.56203701	-122.28816414
47.55637148	-122.2883163
47.56623214	-122.28899073
47.61243661	-122.28900985
47.61260386	-122.28901626
47.55405724	-122.28906218
47.55990943	-122.28916322
47.5711318	-122.28919309
47.55961839	-122.28947535
47.55943696	-122.28953458
47.61384272	-122.28954629
47.6123067	-122.28964641
47.57102685	-122.28967623
47.61215899	-122.28969883
47.71944465	-122.28992172
47.55447739	-122.28995425
47.57134638	-122.29017325
47.68795973	-122.29027242
47.55648826	-122.2902749
47.66899002	-122.29056692
47.68023868	-122.29063693
47.56053345	-122.29109243
47.72233541	-122.29118023
47.56139137	-122.2915533
47.72943418	-122.2915677
47.72144529	-122.29163727
47.56012792	-122.29173683
47.66144101	-122.29209459
47.72109291	-122.29218451
47.67603984	-122.29223035
47.67627035	-122.29223132
